claim_id,description,claim_type,claim_amount,date_filed
CLM-10000,"Collision with deer on rural road outside Norfolk, VA. Front end significantly damaged. Claim filed on 05/08/2024. Estimated damage $5,552.",Auto Accident,37306,2024-04-05
CLM-10005,"Hit and run incident in Peoria, IL. Driver fled scene after damaging passenger side. Claim filed on 20/08/2024.",Auto Accident,54340,2024-10-05
CLM-10033,"Severe flooding from river overflow damaged property in Springfield, MA.",Natural Disaster,27077,2024-04-27
CLM-10013,"Vandalism to property in Jacksonville, FL. Graffiti on exterior walls and broken windows. Claim filed on 24/01/2024. Witness statements collected at scene.",Property Damage,1442,2024-07-21
CLM-10019,"Surgery complications following knee replacement at hospital in Memphis, TN. Estimated damage $6,469.",Medical,62322,2024-10-14
CLM-10050,"Office worker developed carpal tunnel syndrome at company in Peoria, IL. Claim filed on 08/06/2024.",Workers Compensation,35558,2024-10-21
CLM-10036,"Mudslide following heavy rain damaged home foundation in Milwaukee, WI. Claim filed on 25/09/2024.",Natural Disaster,76084,2024-03-02
CLM-10026,"Identity theft and fraudulent charges affecting resident of Boston, MA. Estimated damage $26,973.",Theft,34723,2024-03-14
CLM-10044,"Trip and fall on broken sidewalk outside business in Milwaukee, WI.",Liability,52719,2024-02-23
CLM-10012,"Flooding from heavy rain damaged finished basement in Mesa, AZ. Claim filed on 25/04/2024. Witness statements collected at scene.",Property Damage,78919,2024-09-14
CLM-10054,"Office worker developed carpal tunnel syndrome at company in Austin, TX. Claim filed on 05/02/2024.",Workers Compensation,41049,2024-04-08
CLM-10003,"Multi-car pileup on freeway in Albany, NY during heavy fog. Multiple injuries reported. Claim filed on 05/10/2024. Witness statements collected at scene.",Auto Accident,67693,2024-01-19
CLM-10034,"Severe ice storm brought down power lines and trees on property in Salem, OR. Claim filed on 04/02/2024.",Natural Disaster,87456,2024-08-20
CLM-10030,"Bicycle stolen from rack outside business in Worcester, MA. Lock cut and bike removed.",Theft,70708,2024-01-23
CLM-10008,"Hail damage to roof and siding of property in Norfolk, VA. Multiple broken windows. Claim filed on 16/10/2024.",Property Damage,70155,2024-09-25
CLM-10017,"Diagnostic imaging and specialist consultation in Knoxville, TN for chronic back pain.",Medical,98517,2024-04-15
CLM-10006,"Fender bender at gas station in Tampa, FL when other vehicle reversed without looking.",Auto Accident,90361,2024-06-15
CLM-10004,"Two-car accident on highway near Sacramento, CA. Both vehicles totaled, minor injuries. Claim filed on 06/09/2024.",Auto Accident,74372,2024-11-01
CLM-10041,"Trip and fall on broken sidewalk outside business in Las Vegas, NV.",Liability,17688,2024-10-22
CLM-10027,"Office break-in in Austin, TX. Computers and equipment stolen overnight.",Theft,15836,2024-09-09
CLM-10047,"Trip and fall on broken sidewalk outside business in Norfolk, VA. Claim filed on 19/11/2024.",Liability,37804,2024-06-11
CLM-10046,"Trip and fall on broken sidewalk outside business in Las Vegas, NV.",Liability,3099,2024-07-04
CLM-10052,"Teacher injured breaking up altercation at school in Raleigh, NC. Claim filed on 28/01/2024. Estimated damage $15,876.",Workers Compensation,98001,2024-12-24
CLM-10015,"Lightning strike caused electrical fire at residence in Columbus, OH.",Property Damage,52595,2024-04-14
CLM-10009,"Burst pipe in basement of home in Houston, TX. Water damage to flooring and walls. Estimated damage $40,049.",Property Damage,657,2024-11-21
CLM-10016,"Outpatient surgery for gallbladder removal at clinic in Newark, NJ.",Medical,33763,2024-05-19
